,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,1.68,-16.43,-16.48,-21.65,51.13,43.74,53.70
DCC_bivariate_loop,,,1.68,,-17.63,-17.82,-23.02,48.64,41.58,50.70
SW_cross_validated,,,-16.43,-17.63,,1.60,-1.80,53.76,49.17,53.93
SW_15,,,-16.48,-17.82,1.60,,-3.82,59.73,53.71,61.23
SW_30,,,-21.65,-23.02,-1.80,-3.82,,68.31,61.11,71.25
SW_60,,,51.13,48.64,53.76,59.73,68.31,,-3.10,-7.56
SW_120,,,43.74,41.58,49.17,53.71,61.11,-3.10,,-2.36
sFC,,,53.70,50.70,53.93,61.23,71.25,-7.56,-2.36,
